target_dim,lmr_edges,alpha,k,lr,ijk,kendall,residual variance,globalh0,globalh1
2,3,0.01,32,0.1,0.02090000000000003,-0.9611396250680504,0.003569262461812772,4.498668833920385,4.565199770871296
2,5,0.01,32,0.1,0.018299999999999983,-0.9628895835382179,0.003387796832844625,4.691094183890658,4.48639090735463
2,3,0.1,32,0.1,0.02100000000000002,-0.9613702753430091,0.0035426563384844956,4.794261768816815,4.937278175841636
2,5,0.1,32,0.1,0.015599999999999947,-0.9641729621711101,0.0032644877380747506,4.866567386138343,4.835832015082036
2,3,0.01,64,0.1,0.01980000000000004,-0.9570731337702747,0.004129032664708321,3.2556996474054087,4.433087838382035
2,5,0.01,64,0.1,0.017000000000000015,-0.9604902927282049,0.003675126323685496,3.7447762331432934,3.8537091806526775
2,3,0.1,64,0.1,0.021499999999999964,-0.9583230941636822,0.003993841387334829,4.982058555634258,4.528516493508033
2,5,0.1,64,0.1,0.01959999999999995,-0.9637551485045983,0.003267668941872026,5.244664188180027,4.637092540240538
2,3,0.01,32,1.0,0.028200000000000003,-0.9424524728674623,0.008326265601986127,5.285831055949087,4.5596244283669956
2,5,0.01,32,1.0,0.022599999999999953,-0.9577940800964947,0.004179860587883111,4.998382909290395,5.57872332804814
2,3,0.1,32,1.0,0.024399999999999977,-0.9539814636463531,0.004849402420687654,6.916947737969396,5.559776303410372
2,5,0.1,32,1.0,0.020299999999999985,-0.9629904074620081,0.0034316549958670617,5.298854995686823,5.8910978747106135
2,3,0.01,64,1.0,0.03300000000000003,-0.933116932569431,0.010974266741778815,3.72704122716869,5.109867645114438
2,5,0.01,64,1.0,0.021299999999999986,-0.9565766233651289,0.004405685632008272,4.547150100181005,5.62807860109328
2,3,0.1,64,1.0,0.025000000000000022,-0.9490036196593692,0.006471688047929303,6.827965142928419,3.9352885450499997
2,5,0.1,64,1.0,0.01770000000000005,-0.9631215385562879,0.003370325765215343,4.953118368603883,5.4397829789523415
2,3,0.01,32,2.0,0.041000000000000036,-0.9178152653135191,0.018005019910918407,2.8576499037506427,7.401427121101446
2,5,0.01,32,2.0,0.024399999999999977,-0.9509849000391344,0.005428013032148238,5.062703088691328,5.348437656008455
2,3,0.1,32,2.0,0.027000000000000024,-0.9446388877400372,0.006967707703818382,8.39187450865395,4.476436436415382
2,5,0.1,32,2.0,0.018399999999999972,-0.962498021214497,0.0034928127692660516,6.221533540060344,5.517415856206062
2,3,0.01,64,2.0,0.06120000000000003,-0.8870342972365393,0.030748238519527127,2.189401177968988,8.828294927694012
2,5,0.01,64,2.0,0.0252,-0.9480384046403777,0.006120713120218668,4.923571734894149,6.16693775167993
2,3,0.1,64,2.0,0.02980000000000005,-0.9413626971009036,0.008738456706803621,7.017546283128842,4.681549128199165
2,5,0.1,64,2.0,0.018000000000000016,-0.961442796387002,0.003613121347766368,6.214804274336993,5.30559841131649
