target_dim,lmr_edges,lr,ijk,kendall,residual variance,globalh0,globalh1
2,2,0.1,0.0022999999999999687,-0.9927671407924354,0.0001126523212333641,439.05262314306793,0.0
2,3,0.1,0.0014999999999999458,-0.9932241851661382,9.836303634636057e-05,652.2863243832562,0.0
2,5,0.1,0.0011999999999999789,-0.9945216745884453,6.822338142997708e-05,584.1395181903671,0.0
2,10,0.1,0.0016000000000000458,-0.9945102575884113,7.014632178470315e-05,270.123391577106,0.0
2,2,1.0,0.0024999999999999467,-0.9905620403532386,0.0001989823867490914,735.766495968433,0.0
2,3,1.0,0.0020999999999999908,-0.9900618380999746,0.00025101092469659303,377.720239471869,0.0
2,5,1.0,0.0016000000000000458,-0.9942880714317206,8.91605385249239e-05,239.65659878592672,0.0
2,10,1.0,0.0009000000000000119,-0.9922081126489253,0.0001575819398815792,559.1264219532723,0.0
2,2,2.0,0.0032999999999999696,-0.9906436192719216,0.0001958444349534627,379.15837024433915,0.0
2,3,2.0,0.0031999999999999806,-0.9895244293820608,0.00027470792076755846,707.6945867961974,0.0
2,5,2.0,0.0019000000000000128,-0.9935744279579622,0.00010753026572940527,224.6561829274678,0.0
2,10,2.0,0.0016000000000000458,-0.9920360479321003,0.0001716580307474791,864.8366824361666,0.0
